time,means,sd,se
411,65.15932875,13.65285589,4.550951963
413,65.16466683,13.62005372,4.540017907
415,65.17268442,13.59415938,4.531386461
417,65.1361058,13.57163624,4.523878745
419,65.15635985,13.61794169,4.539313898
421,65.21992353,13.55521301,4.518404337
423,65.15990405,13.59925469,4.533084897
425,65.12141996,13.60728805,4.535762685
427,65.08746157,13.57056294,4.523520979
429,65.11947092,13.52950077,4.50983359
431,65.11266669,13.585804,4.528601332
433,65.10079807,13.62618799,4.542062662
435,65.13653292,13.5334214,4.511140468
437,65.17553477,13.56473818,4.521579394
439,65.12794875,13.55791267,4.519304224
441,65.15731694,13.63157463,4.543858209
443,65.11909784,13.64729178,4.549097259
445,65.10407031,13.62296401,4.540988005
447,65.08932345,13.65013486,4.550044954
449,65.14530014,13.64531298,4.54843766
451,65.15321313,13.59940335,4.533134452
453,65.16322161,13.59228116,4.530760386
455,65.1654862,13.603914,4.534638
457,65.15911432,13.6136439,4.5378813
459,65.0921494,13.65644528,4.552148428
461,65.10111362,13.71595854,4.57198618
463,65.11303976,13.63455616,4.544852055
465,65.08743542,13.57986224,4.526620748
467,65.10657548,13.56393178,4.521310595
469,65.10414527,13.57132609,4.523775364
471,65.13457167,13.53757429,4.512524763
473,65.15429923,13.52252226,4.507507419
475,65.11253071,13.54610513,4.515368378
477,65.04808142,13.52416603,4.508055345
479,65.01354598,13.4715177,4.490505899
481,65.01879865,13.51962218,4.506540726
483,65.01475411,13.48681982,4.495606606
485,65.07828292,13.47503976,4.491679921
487,65.06797808,13.4921319,4.497377301
489,65.08473849,13.50381092,4.501270306
491,65.11192577,13.45907594,4.486358647
493,65.08764462,13.41434715,4.47144905
495,65.06461868,13.45566354,4.485221182
497,64.97682267,13.47968299,4.493227663
499,65.04998514,13.48630967,4.495436555
501,65.00395416,13.48045557,4.493485189
503,65.04449538,13.54270152,4.514233841
505,65.05329921,13.5382459,4.512748633
507,65.08437762,13.48002724,4.493342413
509,65.09839227,13.46900135,4.489667116
511,65.04753924,13.43724627,4.479082091
513,65.06599068,13.46384952,4.487949839
515,65.0690328,13.47852948,4.492843161
517,65.11388876,13.50495692,4.501652307
519,65.06991144,13.57643871,4.52547957
521,65.07742695,13.50003417,4.500011388
523,65.02121665,13.50915658,4.503052194
525,65.00628674,13.52757481,4.509191603
527,64.98716412,13.51966866,4.506556221
529,65.0232424,13.4961814,4.498727133
531,64.95034318,13.45042592,4.483475305
533,65.01300381,13.50550891,4.501836305
535,64.98146865,13.47330567,4.491101889
537,64.97452147,13.45837292,4.486124307
539,64.92406417,13.47597487,4.491991624
541,64.93486761,13.46562088,4.488540292
543,64.90728633,13.50432337,4.501441122
545,64.89647592,13.49137451,4.497124836
547,64.92704004,13.42900851,4.476336171
549,64.87585926,13.39669272,4.465564239
551,64.86861571,13.43320893,4.477736308
553,64.85166005,13.43227264,4.477424213
555,64.87545655,13.43391832,4.477972772
557,64.87822148,13.39726406,4.465754686
559,64.79951346,13.37038056,4.456793521
561,64.73712479,13.43591454,4.478638179
563,64.75905767,13.42445492,4.474818305
565,64.80912446,13.45766551,4.485888503
567,64.73909302,13.50352616,4.501175386
569,64.72579661,13.5134946,4.5044982
571,64.72755389,13.49180662,4.497268875
573,64.6317647,13.4348571,4.478285699
575,64.65118369,13.46873177,4.489577258
577,64.68946729,13.49062609,4.496875365
579,64.67160335,13.48335733,4.494452443
581,64.63784893,13.45794404,4.485981348
583,64.64035759,13.46958747,4.489862491
585,64.64217414,13.48963554,4.496545181
587,64.63658502,13.43781484,4.479271613
589,64.58430245,13.36989309,4.456631028
591,64.52838329,13.36825043,4.456083478
593,64.57615411,13.39962401,4.466541338
595,64.49265019,13.39406187,4.46468729
597,64.50670494,13.39354461,4.464514868
599,64.50596054,13.39036234,4.463454113
601,64.56146304,13.37825049,4.459416831
603,64.51857355,13.36210293,4.45403431
605,64.43677112,13.43413424,4.478044747
607,64.4218848,13.4734021,4.491134034
609,64.42305283,13.44316765,4.481055882
611,64.40903469,13.42075584,4.473585281
613,64.43196127,13.39631892,4.465439639
615,64.39445345,13.4114178,4.470472601
617,64.46000453,13.35881757,4.452939189
619,64.43049512,13.30916825,4.436389418
621,64.41718477,13.34016097,4.446720323
623,64.42881804,13.36181395,4.453937983
625,64.36876892,13.35626408,4.452088028
627,64.31547348,13.31859324,4.439531081
629,64.30529241,13.38445778,4.461485926
631,64.29288336,13.31882944,4.439609812
633,64.32943583,13.27042759,4.423475865
635,64.34092266,13.30206714,4.434022378
637,64.29927094,13.30191433,4.433971443
639,64.22538673,13.33823164,4.446077215
641,64.24306936,13.34232348,4.447441161
643,64.241462,13.23182009,4.410606696
645,64.18818051,13.25677938,4.418926462
647,64.12754214,13.27449068,4.424830228
649,64.18910273,13.22833043,4.409443478
651,64.20154839,13.22997488,4.409991626
653,64.10246255,13.24703628,4.41567876
655,64.10789478,13.30731526,4.435771754
657,64.07925704,13.30802074,4.436006914
659,64.05144216,13.31327546,4.437758485
661,64.05038047,13.27006932,4.423356442
663,64.14252784,13.25408466,4.41802822
665,64.0936901,13.20186237,4.400620789
667,64.07479934,13.16553592,4.388511972
669,64.06056153,13.17904961,4.393016538
671,64.03346142,13.21331144,4.404437145
673,63.98681505,13.18907985,4.39635995
675,63.9826816,13.2236088,4.407869598
677,63.90585639,13.21087456,4.403624852
679,63.95752007,13.18449743,4.394832476
681,63.96029895,13.18371779,4.394572596
683,63.9044408,13.17666907,4.392223023
685,63.90042939,13.18233248,4.394110825
687,63.93664714,13.18357535,4.394525118
689,63.88193786,13.10778343,4.369261144
691,63.83925757,13.13052519,4.37684173
693,63.87432472,13.16027204,4.386757348
695,63.84664582,13.16993549,4.389978498
697,63.8444527,13.18221056,4.394070187
699,63.82241348,13.17636969,4.392123231
701,63.79316035,13.18372752,4.394575839
703,63.75556188,13.23277676,4.410925587
705,63.74478634,13.22836269,4.409454232
707,63.71710046,13.20428406,4.401428018
709,63.65898993,13.17910751,4.393035837
711,63.64314303,13.20483876,4.401612921
713,63.63696814,13.23452381,4.411507937
715,63.60801835,13.20195275,4.400650917
717,63.59102085,13.20175249,4.400584164
719,63.52202669,13.18961255,4.396537517
721,63.5262874,13.13144486,4.377148288
723,63.49658448,13.16211058,4.387370193
725,63.4455606,13.19285352,4.39761784
727,63.44412584,13.15942672,4.386475574
729,63.4610292,13.17316846,4.391056152
731,63.39925767,13.13143568,4.377145226
733,63.44377543,13.12311021,4.374370072
735,63.42459528,13.04264209,4.347547362
737,63.35973979,13.04756971,4.349189903
739,63.35006429,13.07012063,4.356706877
741,63.39435193,13.07012456,4.356708187
743,63.40882683,13.05892324,4.352974413
745,63.3714794,13.08591564,4.36197188
747,63.32295894,13.06312616,4.354375385
749,63.30495903,13.11677084,4.372256946
751,63.28690507,13.11152768,4.370509226
753,63.31557593,13.09348601,4.364495336
755,63.29685078,13.08940376,4.363134586
757,63.36388892,13.01174656,4.337248855
759,63.36411207,13.00168627,4.333895424
761,63.2907927,13.00604972,4.335349906
763,63.21818635,13.06659003,4.355530011
765,63.19326192,13.11560367,4.371867891
767,63.27541999,13.04698386,4.34899462
769,63.30660822,13.04653208,4.348844026
771,63.29290911,13.03539408,4.345131362
773,63.23067385,12.99936113,4.333120378
