time,dp,temp
4425.00,10.401489,28.50418
4426.00,10.401988,28.50437
4427.00,10.401372,28.50463
4428.00,10.401132,28.50370
4429.00,10.401290,28.50388
4430.00,10.401074,28.50356
4431.00,10.400824,28.50434
4432.00,10.400674,28.50366
4433.00,10.401341,28.50384
4434.00,10.401375,28.50357
4435.00,10.401418,28.50325
4436.00,10.402397,28.50381
4437.00,10.403053,28.50406
4438.00,10.403001,28.50371
4439.00,10.401792,28.50466
4440.00,10.401382,28.50336
4441.00,10.401599,28.50361
4442.00,10.401728,28.50405
4443.00,10.402149,28.50306
4444.00,10.402567,28.50321
4445.00,10.402749,28.50300
4446.00,10.402705,28.50243
4447.00,10.401762,28.50289
4448.00,10.401767,28.50294
4449.00,10.402077,28.50209
4450.00,10.402231,28.50322
4451.00,10.402223,28.50350
4452.00,10.402179,28.50345
4453.00,10.402402,28.50340
4454.00,10.401995,28.50351
4455.00,10.402156,28.50249
4456.00,10.402612,28.50305
4457.00,10.403074,28.50360
4458.00,10.403099,28.50312
4459.00,10.403011,28.50245
4460.00,10.402628,28.50258
4461.00,10.402198,28.50368
4462.00,10.401985,28.50367
4463.00,10.402724,28.50316
4464.00,10.403671,28.50387
4465.00,10.404034,28.50358
4466.00,10.404281,28.50336
4467.00,10.404141,28.50411
4468.00,10.403457,28.50406
4469.00,10.403299,28.50403
4470.00,10.403265,28.50308
4471.00,10.403634,28.50274
4472.00,10.404125,28.50284
4473.00,10.403547,28.50340
4474.00,10.402622,28.50333
4475.00,10.403023,28.50339
4476.00,10.403624,28.50385
4477.00,10.403680,28.50371
4478.00,10.403985,28.50367
4479.00,10.404305,28.50410
4480.00,10.403863,28.50407
4481.00,10.404305,28.50535
4482.00,10.404407,28.50442
4483.00,10.404242,28.50382
4484.00,10.404540,28.50417
4485.00,10.404694,28.50468
4486.00,10.404645,28.50478
4487.00,10.404668,28.50383
4488.00,10.404518,28.50274
4489.00,10.405231,28.50368
4490.00,10.405758,28.50258
4491.00,10.405033,28.50383
4492.00,10.405438,28.50442
4493.00,10.404512,28.50384
4494.00,10.403432,28.50467
4495.00,10.402773,28.50459
4496.00,10.402708,28.50485
4497.00,10.403117,28.50553
4498.00,10.404499,28.50488
4499.00,10.405568,28.50415
4500.00,10.405238,28.50418
4501.00,10.405463,28.50451
4502.00,10.405866,28.50449
4503.00,10.405897,28.50417
4504.00,10.405947,28.50386
4505.00,10.405386,28.50545
4506.00,10.404733,28.50488
4507.00,10.404510,28.50439
4508.00,10.404845,28.50420
4509.00,10.405391,28.50435
4510.00,10.404558,28.50422
4511.00,10.404509,28.50445
4512.00,10.404679,28.50445
4513.00,10.404955,28.50475
4514.00,10.404116,28.50456
4515.00,10.403902,28.50382
4516.00,10.404858,28.50355
4517.00,10.404471,28.50360
4518.00,10.404347,28.50458
4519.00,10.405135,28.50476
4520.00,10.404815,28.50386
4521.00,10.404533,28.50369
4522.00,10.404278,28.50462
4523.00,10.404426,28.50357
4524.00,10.405360,28.50449
4525.00,10.405118,28.50398
4526.00,10.405392,28.50479
4527.00,10.405742,28.50429
4528.00,10.405432,28.50386
4529.00,10.405221,28.50428
4530.00,10.405186,28.50443
4531.00,10.405846,28.50448
4532.00,10.405929,28.50410
4533.00,10.405905,28.50350
4534.00,10.406527,28.50497
4535.00,10.407223,28.50447
4536.00,10.408117,28.50396
4537.00,10.408781,28.50455
4538.00,10.408756,28.50421
4539.00,10.408757,28.50408
4540.00,10.409525,28.50398
4541.00,10.409125,28.50396
4542.00,10.408679,28.50340
4543.00,10.408668,28.50416
4544.00,10.408108,28.50379
4545.00,10.408013,28.50324
4546.00,10.408676,28.50489
4547.00,10.409098,28.50484
4548.00,10.409722,28.50420
4549.00,10.410546,28.50380
4550.00,10.410362,28.50332
4551.00,10.410685,28.50277
4552.00,10.410678,28.50362
4553.00,10.410644,28.50395
4554.00,10.410767,28.50427
4555.00,10.410912,28.50372
4556.00,10.410635,28.50441
4557.00,10.410445,28.50525
4558.00,10.410839,28.50511
4559.00,10.411488,28.50447
4560.00,10.412018,28.50506
4561.00,10.411694,28.50446
4562.00,10.411497,28.50407
4563.00,10.411952,28.50373
4564.00,10.412314,28.50340
4565.00,10.411496,28.50382
4566.00,10.411718,28.50368
4567.00,10.411632,28.50390
4568.00,10.411190,28.50348
4569.00,10.410949,28.50394
4570.00,10.410299,28.50274
4571.00,10.410452,28.50408
4572.00,10.410637,28.50421
4573.00,10.411107,28.50316
4574.00,10.411499,28.50299
4575.00,10.411549,28.50366
4576.00,10.410714,28.50423
4577.00,10.410717,28.50416
4578.00,10.411467,28.50423
4579.00,10.411540,28.50430
4580.00,10.411317,28.50367
4581.00,10.411462,28.50409
4582.00,10.411070,28.50446
4583.00,10.410978,28.50504
4584.00,10.411736,28.50511
4585.00,10.412338,28.50510
4586.00,10.411725,28.50425
4587.00,10.410219,28.50370
4588.00,10.410198,28.50447
4589.00,10.410894,28.50429
4590.00,10.411062,28.50443
4591.00,10.411168,28.50376
4592.00,10.411024,28.50388
4593.00,10.411036,28.50454
4594.00,10.411170,28.50474
4595.00,10.411353,28.50545
4596.00,10.411826,28.50555
4597.00,10.412926,28.50449
4598.00,10.413224,28.50441
4599.00,10.413362,28.50475
4600.00,10.412600,28.50490
4601.00,10.411485,28.50374
4602.00,10.411438,28.50497
4603.00,10.411315,28.50520
4604.00,10.411670,28.50498
4605.00,10.411777,28.50564
4606.00,10.411323,28.50416
4607.00,10.411197,28.50453
4608.00,10.411468,28.50494
4609.00,10.411615,28.50427
4610.00,10.412318,28.50417
4611.00,10.412277,28.50463
4612.00,10.411662,28.50448
4613.00,10.411682,28.50441
4614.00,10.411848,28.50455
4615.00,10.411884,28.50461
4616.00,10.411714,28.50443
4617.00,10.411580,28.50460
4618.00,10.411599,28.50491
4619.00,10.412028,28.50455
4620.00,10.412330,28.50392
4621.00,10.412677,28.50407
4622.00,10.412948,28.50372
4623.00,10.412782,28.50333
4624.00,10.412707,28.50441
4625.00,10.412599,28.50436
4626.00,10.411535,28.50363
4627.00,10.412182,28.50432
4628.00,10.412197,28.50414
4629.00,10.412477,28.50381
4630.00,10.412750,28.50401
4631.00,10.412105,28.50370
4632.00,10.411975,28.50405
4633.00,10.412199,28.50492
4634.00,10.412576,28.50493
4635.00,10.412818,28.50359
4636.00,10.412622,28.50349
4637.00,10.412611,28.50374
4638.00,10.412683,28.50312
4639.00,10.412678,28.50335
4640.00,10.413227,28.50310
4641.00,10.413108,28.50323
4642.00,10.412973,28.50241
4643.00,10.412923,28.50314
4644.00,10.412507,28.50347
4645.00,10.412377,28.50439
4646.00,10.412581,28.50403
4647.00,10.413028,28.50472
4648.00,10.413220,28.50415
4649.00,10.412590,28.50413
4650.00,10.411558,28.50488
4651.00,10.411900,28.50508
4652.00,10.412276,28.50464
4653.00,10.412935,28.50517
4654.00,10.413120,28.50458
4655.00,10.414029,28.50454
4656.00,10.413660,28.50396
4657.00,10.413128,28.50355
4658.00,10.412731,28.50471
4659.00,10.413263,28.50418
4660.00,10.413341,28.50523
4661.00,10.412978,28.50500
4662.00,10.413518,28.50398
4663.00,10.413686,28.50496
4664.00,10.413621,28.50390
4665.00,10.414009,28.50407
4666.00,10.414513,28.50397
4667.00,10.414584,28.50328
4668.00,10.413889,28.50401
4669.00,10.414022,28.50386
4670.00,10.413678,28.50361
4671.00,10.412605,28.50416
4672.00,10.412778,28.50368
4673.00,10.414023,28.50326
4674.00,10.413912,28.50344
4675.00,10.413769,28.50370
4676.00,10.413114,28.50384
4677.00,10.412685,28.50370
4678.00,10.413648,28.50381
4679.00,10.413648,28.50415
4680.00,10.413465,28.50434
4681.00,10.413092,28.50443
4682.00,10.413161,28.50419
4683.00,10.412845,28.50397
4684.00,10.412109,28.50352
4685.00,10.412911,28.50494
4686.00,10.413745,28.50329
4687.00,10.413753,28.50417
4688.00,10.412825,28.50424
4689.00,10.411702,28.50500
4690.00,10.411361,28.50513
4691.00,10.411512,28.50513
4692.00,10.411595,28.50470
4693.00,10.411755,28.50496
4694.00,10.412077,28.50494
4695.00,10.411868,28.50465
4696.00,10.412030,28.50530
4697.00,10.412201,28.50388
4698.00,10.412586,28.50473
4699.00,10.412608,28.50516
4700.00,10.413445,28.50464
4701.00,10.413169,28.50483
4702.00,10.412948,28.50417
4703.00,10.412911,28.50401
4704.00,10.412488,28.50428
4705.00,10.412011,28.50335
4706.00,10.412268,28.50470
4707.00,10.412281,28.50508
4708.00,10.412320,28.50514
4709.00,10.412296,28.50502
4710.00,10.412077,28.50461
4711.00,10.412576,28.50354
4712.00,10.412772,28.50320
4713.00,10.413190,28.50369
4714.00,10.412712,28.50386
4715.00,10.411899,28.50405
4716.00,10.412192,28.50392
4717.00,10.412682,28.50402
4718.00,10.412656,28.50456
4719.00,10.412803,28.50398
4720.00,10.412586,28.50352
4721.00,10.412012,28.50398
4722.00,10.411932,28.50425
4723.00,10.412102,28.50487
4724.00,10.411764,28.50431
4725.00,10.412170,28.50388
4726.00,10.411673,28.50453
4727.00,10.411357,28.50478
4728.00,10.411612,28.50365
4729.00,10.412301,28.50355
4730.00,10.411845,28.50411
4731.00,10.410857,28.50392
4732.00,10.410828,28.50348
4733.00,10.411182,28.50395
4734.00,10.411075,28.50339
4735.00,10.411206,28.50420
4736.00,10.411044,28.50452
4737.00,10.411516,28.50460
4738.00,10.412283,28.50342
4739.00,10.411884,28.50367
4740.00,10.412316,28.50437
4741.00,10.411357,28.50417
4742.00,10.411079,28.50398
4743.00,10.410782,28.50386
4744.00,10.410047,28.50448
4745.00,10.410457,28.50461
4746.00,10.411240,28.50337
4747.00,10.411481,28.50376
4748.00,10.411342,28.50383
4749.00,10.411974,28.50417
4750.00,10.411692,28.50370
4751.00,10.411653,28.50418
4752.00,10.412399,28.50404
4753.00,10.411904,28.50401
4754.00,10.411685,28.50402
4755.00,10.411051,28.50388
4756.00,10.411356,28.50336
4757.00,10.410744,28.50456
4758.00,10.410434,28.50432
4759.00,10.410533,28.50500
4760.00,10.410520,28.50439
4761.00,10.410930,28.50479
4762.00,10.411151,28.50436
4763.00,10.411399,28.50394
4764.00,10.411347,28.50458
4765.00,10.410488,28.50311
4766.00,10.410127,28.50386
4767.00,10.410280,28.50387
4768.00,10.411890,28.50439
4769.00,10.412457,28.50423
4770.00,10.411781,28.50398
4771.00,10.411402,28.50473
4772.00,10.411497,28.50513
4773.00,10.411226,28.50415
4774.00,10.410708,28.50344
4775.00,10.409907,28.50392
4776.00,10.410050,28.50401
4777.00,10.410645,28.50440
4778.00,10.410170,28.50371
4779.00,10.411208,28.50379
4780.00,10.410721,28.50489
4781.00,10.410701,28.50462
4782.00,10.411041,28.50358
4783.00,10.411558,28.50355
4784.00,10.412368,28.50301
4785.00,10.411181,28.50469
4786.00,10.411157,28.50393
4787.00,10.410154,28.50383
4788.00,10.409910,28.50386
4789.00,10.410320,28.50470
4790.00,10.410719,28.50415
4791.00,10.410220,28.50459
4792.00,10.409799,28.50456
4793.00,10.410480,28.50411
4794.00,10.410345,28.50313
4795.00,10.410029,28.50412
4796.00,10.410358,28.50318
4797.00,10.409291,28.50375
4798.00,10.408964,28.50326
4799.00,10.409411,28.50404
4800.00,10.409043,28.50451
4801.00,10.408188,28.50439
4802.00,10.408000,28.50504
4803.00,10.408278,28.50411
4804.00,10.408528,28.50343
4805.00,10.409481,28.50356
4806.00,10.410555,28.50370
4807.00,10.409883,28.50414
4808.00,10.409675,28.50390
4809.00,10.410370,28.50333
4810.00,10.410029,28.50398
4811.00,10.409313,28.50403
4812.00,10.409636,28.50469
4813.00,10.409858,28.50471
4814.00,10.409313,28.50472
4815.00,10.409656,28.50453
4816.00,10.410255,28.50493
4817.00,10.410220,28.50571
4818.00,10.409724,28.50511
4819.00,10.409727,28.50450
4820.00,10.409890,28.50461
4821.00,10.409400,28.50452
4822.00,10.408549,28.50443
4823.00,10.408491,28.50405
4824.00,10.409057,28.50348
4825.00,10.409879,28.50401
4826.00,10.409842,28.50514
4827.00,10.410456,28.50393
4828.00,10.410431,28.50414
4829.00,10.410691,28.50431
4830.00,10.410475,28.50355
4831.00,10.410579,28.50385
4832.00,10.409882,28.50457
4833.00,10.409644,28.50494
4834.00,10.409951,28.50504
4835.00,10.410374,28.50438
4836.00,10.410456,28.50437
4837.00,10.410150,28.50465
4838.00,10.409467,28.50425
4839.00,10.409277,28.50493
4840.00,10.408838,28.50480
4841.00,10.408992,28.50464
4842.00,10.408574,28.50446
4843.00,10.408683,28.50418
4844.00,10.408889,28.50408
4845.00,10.409230,28.50337
4846.00,10.408985,28.50368
4847.00,10.408903,28.50364
4848.00,10.408440,28.50360
4849.00,10.408607,28.50341
4850.00,10.408623,28.50385
4851.00,10.408184,28.50371
4852.00,10.407798,28.50422
4853.00,10.407317,28.50412
4854.00,10.406348,28.50396
4855.00,10.406433,28.50413
4856.00,10.406846,28.50314
4857.00,10.407684,28.50393
4858.00,10.408178,28.50423
4859.00,10.408775,28.50414
4860.00,10.408711,28.50413
4861.00,10.408213,28.50311
4862.00,10.408158,28.50331
4863.00,10.408449,28.50397
4864.00,10.408495,28.50347
4865.00,10.408062,28.50318
4866.00,10.408102,28.50366
4867.00,10.408220,28.50332
4868.00,10.407952,28.50398
4869.00,10.406809,28.50407
4870.00,10.407280,28.50452
4871.00,10.407381,28.50372
4872.00,10.407074,28.50343
4873.00,10.406642,28.50378
4874.00,10.406506,28.50375
4875.00,10.406306,28.50369
4876.00,10.406232,28.50414
4877.00,10.406683,28.50429
4878.00,10.406544,28.50447
4879.00,10.406024,28.50416
4880.00,10.405859,28.50363
4881.00,10.406483,28.50431
4882.00,10.407565,28.50400
4883.00,10.409129,28.50395
4884.00,10.408883,28.50409
4885.00,10.407975,28.50461
4886.00,10.407834,28.50440
